Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Circuit,Switch Function,Contact Rating @ Voltage,Actuator Type,Mounting Type,"Actuator Height off PCB, from Pins",Actuator Orientation,Termination Style,Outline,Illumination,Illumination Voltage (Nominal),"Illumination Type, Color",Operating Force,Ingress Protection,Features,Stock,Query,Package,Device
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2-1437565-7&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/FSM6JSMA.jpg,450-1133-ND,FSM6JSMA,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,43720,0,0.24,0,1,Bulk,FSMJSMA,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Surface Mount,7.00mm,Top Actuated,Gull Wing,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_FSM8JSMA,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2-1437565-7&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/FSM4JSMA.jpg,450-1129-ND,FSM4JSMA,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,38150,0,0.2,0,1,Bulk,FSMJSMA,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Surface Mount,5.00mm,Top Actuated,Gull Wing,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_FSM8JSMA,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2-1437565-7&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/FSM2JSMA.jpg,450-1130-ND,FSM2JSMA,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,7878,0,0.27,0,1,Bulk,FSMJSMA,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Surface Mount,4.30mm,Top Actuated,Gull Wing,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_FSM8JSMA,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=2-1437565-7&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/FSM8JSMA.JPG,FSM8JSMA-ND,FSM8JSMA,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,2389,0,0.29,0,1,Bulk,FSMJSMA,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Surface Mount,9.50mm,Top Actuated,Gull Wing,6.00mm x 6.00mm,Non-Illuminated,-,-,160gf,-,-,,,TE_FSM8JSMA,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1-1437565-8&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/photos/Tyco%20Alcoswitch%20Photos/FSM1LPA.jpg,450-1760-1-ND,FSM1LPATR,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,45697,0,0.34,0,1,Cut Tape (CT),FSM1LP,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,Surface Mount,3.10mm,Top Actuated,Gull Wing,6.00mm x 6.00mm,Non-Illuminated,-,-,260gf,-,-,,,TE_FSM1LPATR,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1571262&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/1571262-2.JPG,450-2060-1-ND,1571262-2,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 12V,10626,0,2.69,0,1,Cut Tape (CT),-,SPST-NO,Off-Mom,0.05A @ 12VDC,Rectangular Button,"Surface Mount, Right Angle",-,Side Actuated,Gull Wing,5.60mm x 4.00mm,Non-Illuminated,-,-,220gf,-,-,,,TE_1571262-2,
http://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1571407&DocType=Customer+Drawing&DocLang=English,http://media.digikey.com/Photos/TE%20Connectivity/1571407-2.JPG,450-1830-1-ND,1571407-2,TE Connectivity Alcoswitch Switches,SWITCH TACTILE SPST-NO 0.05A 24V,0,0,1.02,0,1,Cut Tape (CT),-,SPST-NO,Off-Mom,0.05A @ 24VDC,Standard,"Surface Mount, Right Angle",-,Side Actuated,SMD (SMT) Tab,6.40mm x 6.30mm,Non-Illuminated,-,-,260gf,"IP67 - Dust Tight, Waterproof",Sealed - Fully,,,TE_157407-2,
